RSRP,RSRQ,RSSI,PCC_SINR,PCC_PHY_Thruput_DL,PDCP_Thruput_DL
-102.82,-10.47,-77.45,-1.8,1447.5,1407.99
-102.82,-10.47,-77.45,-1.8,1447.5,1407.99
-102.82,-10.47,-77.45,-1.8,1447.5,1407.99
-101.54,-9.57,-77.72,-0.47,1694.05,1340.55
-101.54,-9.57,-77.72,-0.47,1694.05,1340.55
-101.54,-9.57,-77.72,-0.47,1694.05,1340.55
-101.54,-9.57,-77.72,-0.47,1694.05,1340.55
-100.01,-9.66,-75.96,0.29,2412.94,2013.37
-100.01,-9.66,-75.96,0.29,2412.94,2013.37
-100.01,-9.66,-75.96,0.29,2412.94,2013.37
-100.01,-9.66,-75.96,0.29,2412.94,2013.37
-100.13,-9.33,-76.42,0.65,2196.45,2677.19
-100.13,-9.33,-76.42,0.65,2196.45,2677.19
-100.13,-9.33,-76.42,0.65,2196.45,2677.19
-100.13,-9.33,-76.42,0.65,2196.45,2677.19
-101.73,-10.11,-76.8,-1.71,3053.98,2122.83
-101.73,-10.11,-76.8,-1.71,3053.98,2122.83
-101.73,-10.11,-76.8,-1.71,3053.98,2122.83
-101.73,-10.11,-76.8,-1.71,3053.98,2122.83
-101.68,-10.45,-76.17,-1.71,2392.55,1361.66
-101.68,-10.45,-76.17,-1.71,2392.55,1361.66
-101.68,-10.45,-76.17,-1.71,2392.55,1361.66
-101.68,-10.45,-76.17,-1.71,2392.55,1361.66
-97.29,-10.12,-72.39,-0.11,1415.6,1938.58
-97.29,-10.12,-72.39,-0.11,1415.6,1938.58
-97.29,-10.12,-72.39,-0.11,1415.6,1938.58
-97.29,-10.12,-72.39,-0.11,1415.6,1938.58
-99.64,-11.84,-73.26,-3.78,2479.23,1234.72
-99.64,-11.84,-73.26,-3.78,2479.23,1234.72
-99.64,-11.84,-73.26,-3.78,2479.23,1234.72
-99.64,-11.84,-73.26,-3.78,2479.23,1234.72
-96.89,-10.61,-71.93,-0.87,1349.86,1384.8
-96.89,-10.61,-71.93,-0.87,1349.86,1384.8
-96.89,-10.61,-71.93,-0.87,1349.86,1384.8
-96.89,-10.61,-71.93,-0.87,1349.86,1384.8
-96.6,-10.94,-70.81,-1.06,2008.17,1757.19
-96.6,-10.94,-70.81,-1.06,2008.17,1757.19
-96.6,-10.94,-70.81,-1.06,2008.17,1757.19
-96.6,-10.94,-70.81,-1.06,2008.17,1757.19
-96.71,-11.71,-69.94,-2.05,2248.79,2238.62
-96.71,-11.71,-69.94,-2.05,2248.79,2238.62
-96.71,-11.71,-69.94,-2.05,2248.79,2238.62
-96.71,-11.71,-69.94,-2.05,2248.79,2238.62
-98.79,-12.7,-71.3,-4.38,2173.74,1027.01
-98.79,-12.7,-71.3,-4.38,2173.74,1027.01
-98.79,-12.7,-71.3,-4.38,2173.74,1027.01
-98.79,-12.7,-71.3,-4.38,2173.74,1027.01
-97.66,-10.75,-71.44,-1.83,1271.01,1523.28
-97.66,-10.75,-71.44,-1.83,1271.01,1523.28
-97.66,-10.75,-71.44,-1.83,1271.01,1523.28
-97.66,-10.75,-71.44,-1.83,1271.01,1523.28
-97.12,-10.71,-70.9,-1.22,1914.02,1500.4
-97.12,-10.71,-70.9,-1.22,1914.02,1500.4
-97.12,-10.71,-70.9,-1.22,1914.02,1500.4
-97.12,-10.71,-70.9,-1.22,1914.02,1500.4
-96.02,-11.07,-70.44,-0.91,1725.15,1718.97
-96.02,-11.07,-70.44,-0.91,1725.15,1718.97
-96.02,-11.07,-70.44,-0.91,1725.15,1718.97
-96.02,-11.07,-70.44,-0.91,1725.15,1718.97
-97.98,-10.86,-72.25,-0.53,2142.86,1961.47
-97.98,-10.86,-72.25,-0.53,2142.86,1961.47
-97.98,-10.86,-72.25,-0.53,2142.86,1961.47
-97.98,-10.86,-72.25,-0.53,2142.86,1961.47
-96.1,-10.86,-70.23,-0.15,2514.96,1511.74
-96.1,-10.86,-70.23,-0.15,2514.96,1511.74
-96.1,-10.86,-70.23,-0.15,2514.96,1511.74
-96.1,-10.86,-70.23,-0.15,2514.96,1511.74
-96.74,-11.24,-70.53,-1.55,2316.42,1776.94
-96.74,-11.24,-70.53,-1.55,2316.42,1776.94
-96.74,-11.24,-70.53,-1.55,2316.42,1776.94
-96.74,-11.24,-70.53,-1.55,2316.42,1776.94
-95.34,-11.11,-68.91,-1,1739.47,1465.58
-95.34,-11.11,-68.91,-1,1739.47,1465.58
-95.34,-11.11,-68.91,-1,1739.47,1465.58
-95.34,-11.11,-68.91,-1,1739.47,1465.58
-95.16,-11.12,-69.49,-0.27,2396.65,2184.33
-95.16,-11.12,-69.49,-0.27,2396.65,2184.33
-95.16,-11.12,-69.49,-0.27,2396.65,2184.33
-95.16,-11.12,-69.49,-0.27,2396.65,2184.33
-95.6,-10.65,-69.74,0,1556.86,1338.57
-95.6,-10.65,-69.74,0,1556.86,1338.57
-95.6,-10.65,-69.74,0,1556.86,1338.57
-95.6,-10.65,-69.74,0,1556.86,1338.57
-95.16,-10.97,-69.33,-0.36,2487.77,2191.99
-95.16,-10.97,-69.33,-0.36,2487.77,2191.99
-95.16,-10.97,-69.33,-0.36,2487.77,2191.99
-95.16,-10.97,-69.33,-0.36,2487.77,2191.99
-96.42,-10.91,-70.18,-0.2,2603.81,2100.48
-96.42,-10.91,-70.18,-0.2,2603.81,2100.48
-96.42,-10.91,-70.18,-0.2,2603.81,2100.48
-96.42,-10.91,-70.18,-0.2,2603.81,2100.48
-95.85,-12.33,-68.83,-2.31,1924.03,1292.52
-95.85,-12.33,-68.83,-2.31,1924.03,1292.52
-95.85,-12.33,-68.83,-2.31,1924.03,1292.52
-95.85,-12.33,-68.83,-2.31,1924.03,1292.52
-96.03,-13.53,-68.27,-4,1207.68,877.65
-96.03,-13.53,-68.27,-4,1207.68,877.65
-96.03,-13.53,-68.27,-4,1207.68,877.65
-96.03,-13.53,-68.27,-4,1207.68,877.65
-95.6,-11.51,-69.09,-0.9,1071.3,1224.49
-95.6,-11.51,-69.09,-0.9,1071.3,1224.49
-95.6,-11.51,-69.09,-0.9,1071.3,1224.49
-95.6,-11.51,-69.09,-0.9,1071.3,1224.49
-95.22,-12.51,-67.7,-3.13,1816.08,1234.75
-95.22,-12.51,-67.7,-3.13,1816.08,1234.75
-95.22,-12.51,-67.7,-3.13,1816.08,1234.75
-95.22,-12.51,-67.7,-3.13,1816.08,1234.75
-95.8,-11.74,-68.79,-1.66,1543.27,1074.12
-95.8,-11.74,-68.79,-1.66,1543.27,1074.12
-95.8,-11.74,-68.79,-1.66,1543.27,1074.12
-95.8,-11.74,-68.79,-1.66,1543.27,1074.12
-96.78,-11.58,-69.68,-1.79,1927.32,1391.63
-96.78,-11.58,-69.68,-1.79,1927.32,1391.63
-96.78,-11.58,-69.68,-1.79,1927.32,1391.63
-96.78,-11.58,-69.68,-1.79,1927.32,1391.63
-95.23,-10.92,-69.35,0.49,1570.12,1592.52
-95.23,-10.92,-69.35,0.49,1570.12,1592.52
-95.23,-10.92,-69.35,0.49,1570.12,1592.52
-95.23,-10.92,-69.35,0.49,1570.12,1592.52
-94.42,-10.41,-69.2,0.4,2535.24,1824.13
-94.42,-10.41,-69.2,0.4,2535.24,1824.13
-94.42,-10.41,-69.2,0.4,2535.24,1824.13
-94.42,-10.41,-69.2,0.4,2535.24,1824.13
-96.02,-11.43,-69.63,-0.31,2618.64,2011.43
-96.02,-11.43,-69.63,-0.31,2618.64,2011.43
-96.02,-11.43,-69.63,-0.31,2618.64,2011.43
-96.02,-11.43,-69.63,-0.31,2618.64,2011.43
-95.72,-11.08,-70.02,-0.03,1794.03,1431.03
-95.72,-11.08,-70.02,-0.03,1794.03,1431.03
