RSRP,RSRQ,RSSI,PCC_PHY_Thruput_DL,PDCP_Thruput_DL
-70.54,-9.44,-47.08,6318.21,5308.81
-71.25,-9.55,-47.7,5189.73,4160.66
-71.25,-9.55,-47.7,5189.73,4160.66
-71.26,-9.41,-47.83,5504.82,3620.64
-71.26,-9.41,-47.83,5504.82,3620.64
-71.79,-9.35,-48.43,5583.98,2611.18
-71.79,-9.35,-48.43,5583.98,2611.18
-72.76,-9.51,-49.25,4007.43,1862.59
-72.76,-9.51,-49.25,4007.43,1862.59
-71.45,-9.62,-47.82,4946.61,2573.11
-71.45,-9.62,-47.82,4946.61,2573.11
-72.6,-9.59,-49.0,4659.01,2296.6
-72.6,-9.59,-49.0,4659.01,2296.6
-71.79,-9.41,-48.36,5285.38,2680.82
-71.79,-9.41,-48.36,5285.38,2680.82
-71.37,-9.31,-48.05,5583.3,2746.5
-71.37,-9.31,-48.05,5583.3,2746.5
-71.54,-9.28,-48.25,5800.5,5243.95
-71.54,-9.28,-48.25,5800.5,5243.95
-71.74,-9.53,-48.2,5595.74,4488.56
-71.74,-9.53,-48.2,5595.74,4488.56
-70.84,-9.75,-47.08,5013.09,3554.4
-70.84,-9.75,-47.08,5013.09,3554.4
-72.2,-9.79,-48.38,4141.42,3346.33
-72.2,-9.79,-48.38,4141.42,3346.33
-71.36,-9.68,-47.67,4197.94,3996.39
-71.36,-9.68,-47.67,4197.94,3996.39
-72.96,-9.62,-49.27,4888.19,3820.36
-72.96,-9.62,-49.27,4888.19,3820.36
-70.94,-9.45,-47.47,5262.03,4551.59
-70.94,-9.45,-47.47,5262.03,4551.59
-72.09,-9.63,-48.44,4459.34,3498.91
-72.09,-9.63,-48.44,4459.34,3498.91
-72.17,-9.72,-48.44,5083.8,4327.47
-72.17,-9.72,-48.44,5083.8,4327.47
-73.11,-10.65,-48.03,3441.13,2891.15
-73.11,-10.65,-48.03,3441.13,2891.15
-75.66,-10.42,-50.76,2922.63,1999.93
-75.66,-10.42,-50.76,2922.63,1999.93
-73.61,-10.41,-49.15,2433.28,2516.61
-73.61,-10.41,-49.15,2433.28,2516.61
-72.29,-10.62,-47.64,4160.78,3656.81
-72.29,-10.62,-47.64,4160.78,3656.81
-71.66,-10.51,-46.95,4577.81,4107.05
-71.66,-10.51,-46.95,4577.81,4107.05
-72.25,-9.7,-48.45,4526.85,3724.99
-72.25,-9.7,-48.45,4526.85,3724.99
-72.53,-9.23,-48.81,6891.0,5820.54
-72.53,-9.23,-48.81,6891.0,5820.54
-74.64,-9.56,-50.84,3767.97,3143.05
-74.64,-9.56,-50.84,3767.97,3143.05
-74.28,-11.62,-48.64,2615.55,2011.48
-74.28,-11.62,-48.64,2615.55,2011.48
-74.38,-10.47,-49.82,3511.14,2000.3
-74.38,-10.47,-49.82,3511.14,2000.3
-75.0,-9.6,-51.39,3087.04,2882.93
-75.0,-9.6,-51.39,3087.04,2882.93
-71.44,-9.31,-48.12,6305.56,4976.96
-71.44,-9.31,-48.12,6305.56,4976.96
-71.63,-9.41,-48.21,5221.96,4828.77
-71.63,-9.41,-48.21,5221.96,4828.77
-71.61,-9.63,-47.96,5427.79,4553.85
-71.61,-9.63,-47.96,5427.79,4553.85
-72.02,-9.79,-48.21,4258.29,3889.55
-72.02,-9.79,-48.21,4258.29,3889.55
-72.62,-9.65,-48.97,4263.06,3820.48
-72.62,-9.65,-48.97,4263.06,3820.48
-72.58,-9.42,-49.15,4561.31,3715.21
-72.58,-9.42,-49.15,4561.31,3715.21
-73.58,-9.64,-49.92,5227.0,4410.12
-73.58,-9.64,-49.92,5227.0,4410.12
-73.9,-9.83,-50.05,3299.99,2864.45
-73.9,-9.83,-50.05,3299.99,2864.45
-72.3,-9.25,-49.03,4843.83,4050.2
-72.3,-9.25,-49.03,4843.83,4050.2
-72.08,-9.35,-48.71,4791.28,4231.91
-72.08,-9.35,-48.71,4791.28,4231.91
-72.88,-9.41,-49.45,5068.12,4269.43
-72.88,-9.41,-49.45,5068.12,4269.43
-72.13,-9.51,-48.6,4829.49,4431.4
-72.13,-9.51,-48.6,4829.49,4431.4
-71.92,-9.05,-48.85,4912.37,4374.93
-71.92,-9.05,-48.85,4912.37,4374.93
-71.06,-9.44,-47.6,5408.55,4621.74
-71.06,-9.44,-47.6,5408.55,4621.74
